id,login_timestamp,user_id,rtt,ip_address,country,region,city,asn,user_agent_string,browser_name_version,os_name_version,device_type,login_successful,resolution,language
1,1780649654,1,320,175.198.127.222,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 148.0.0,Mac OS X 10.15.7,Desktop,t,2560x1600,fr-FR
2,1780649722,1,45,175.198.127.222,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 148.0.0,Mac OS X 10.15.7,Desktop,t,1920x1080,ko-KR
3,1780649735,1,45,175.198.127.222,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 148.0.0,Mac OS X 10.15.7,Desktop,t,1920x1080,ko-KR
4,1780650061,1,320,175.198.127.222,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 148.0.0,Mac OS X 10.15.7,Desktop,t,2560x1600,fr-FR
5,1780650105,1,320,175.198.127.222,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 148.0.0,Mac OS X 10.15.7,Desktop,t,2560x1600,fr-FR
6,1780650402,1,45,175.198.127.222,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 148.0.0,Mac OS X 10.15.7,Desktop,t,1920x1080,ko-KR
7,1780650707,1,45,219.255.207.24,KR,Seoul,Seoul,AS9318,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1920x1080,ko-KR
8,1780650726,1,45,219.255.207.24,KR,Seoul,Seoul,AS9318,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1920x1080,ko-KR
9,1780650730,1,45,219.255.207.24,KR,Seoul,Seoul,AS9318,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1920x1080,ko-KR
10,1780650812,1,45,219.255.207.24,KR,Seoul,Seoul,AS9318,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1920x1080,ko-KR
11,1780653065,4,9,219.255.207.24,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1707x1067,ko-KR
12,1780653244,4,7,219.255.207.24,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1707x1067,ko-KR
13,1780653245,4,7,219.255.207.24,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1707x1067,ko-KR
14,1780653245,4,7,219.255.207.24,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1707x1067,ko-KR
15,1780653245,4,7,219.255.207.24,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1707x1067,ko-KR
16,1780653246,4,7,219.255.207.24,South Korea,Seoul,Seoul,AS9318 (SK Broadband),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Chrome 120.0.0.0,Mac OS X 10.15.7,Desktop,t,1707x1067,ko-KR
