id,user_id,raw_profile_data,created_at
1,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
2,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
3,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
4,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
5,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
6,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
7,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
8,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
9,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
10,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
11,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
12,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
13,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
14,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
15,1,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:00:06.71421+00
16,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
17,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
18,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
19,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
20,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
21,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
22,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
23,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
24,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
25,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
26,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
27,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
28,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
29,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
30,2,"[140, 150, 140, 150, 230, 240, 230, 90, 90, 90]",2026-06-09 19:06:33.057643+00
32,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
33,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
34,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
35,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
36,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
37,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
38,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
39,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
40,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
41,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
42,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
43,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
44,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
45,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
46,4,"[120, 130, 110, 120, 200, 200, 200, 80, 70, 90]",2026-06-09 19:42:05.810909+00
47,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
48,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
49,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
50,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
51,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
52,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
53,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
54,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
55,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
56,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
57,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
58,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
59,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
60,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
61,5,"[150, 160, 150, 160, 240, 260, 250, 90, 100, 100]",2026-06-09 19:47:34.056818+00
